region_id,population
601, 6593758
602, 3761558
603, 132781
604, 87945
605, 48106
606, 57183
607, 49999
608, 34690
609, 1225382
610, 1044243
611, 1875719
612, 1678512
613, 853893
614, 899577
615, 718683
616, 673115
617, 614862
618, 1467742
619, 820208
620, 1088094
621, 42697
622, 19955
623, 101507
624, 31788
625, 3206
626, 13769
627, 17031
628, 49529
629, 44198
630, 29034
631, 25083
632, 79558
633, 81742
634, 50527
635, 116879
636, 20251
637, 65570
638, 17807
639, 24082
640, 63914
641, 24168
648, 197672
40443, 475821
40444, 626899
40445, 2060434
40446, 3108039
40447, 598494
40448, 940770
40449, 3286394
40450, 569713
901145, 494954
901146, 623529
901147, 2040761
901148, 3103299
901149, 600580
901150, 197905
901151, 939568
901152, 3291115
901153, 569751
901154, 139
901155, 159
652, 2207344
653, 1148015
654, 717736
655, 29493
656, 56287
657, 59984
658, 112551
659, 391656
660, 182346
661, 187899
662, 420329
663, 247680
665, 937801
666, 3454732
667, 883967
668, 4408725
669, 15136805
670, 9591872
671, 3220128
672, 3928100
673, 7319855
674, 7739246
675, 3842956
676, 2919037
677, 21632034
678, 9687721
679, 4136476
680, 11462822
681, 9768094
682, 3436277
683, 17810958
684, 3636831
685, 11288380
686, 1824051
687, 633594
688, 7302132
689, 46165080
690, 2410813
691, 1709840
39503, 296
39504, 271
39505, 23
39506, 25101
39507, 3869
698, 70550
699, 327451
700, 13014
701, 47166
702, 296849
703, 405174
704, 164416
705, 106558
706, 220568
707, 113875
708, 141621
709, 119027
710, 118424
711, 121372
712, 244183
713, 185861
714, 223449
715, 651144
716, 104496
717, 201897
718, 161570
719, 109372
720, 180213
721, 103031
722, 294275
723, 1275730
724, 302057
725, 107761
726, 483562
727, 229413
728, 81882
729, 155913
40276, 1934182
40277, 1134725
40278, 4212156
40279, 1729814
40280, 1741365
40281, 1704047
40282, 880946
40283, 2031446
40284, 2478724
40285, 1597595
40286, 933220
40287, 1490156
40288, 944189
900712, 1929705
900713, 1125538
900714, 4218334
